address,bathrooms,bedrooms,finishedsqft,lastsoldprice,neighborhood,totalrooms
Address: 600 Pacheco Street,2,3,1660,1460000,Golden Gate Heights,6
Address: 515 22nd Avenue,1.25,3,1740,1500000,Central Richmond,8
Address: 1540 17th Avenue,1,2,1105,1250000,Inner Sunset,5
Address: 601 Van Ness Avenue #741,1,1,793,710000,Van Ness - Civic Center,3
Address: 355 1st Street #S903,1,1,566,765000,South Beach,3
Address: 451 Kansas Street #551,1,1,469,830000,Potrero Hill,2
Address: 44 Seneca Avenue,1,2,755,810000,Mission Terrace,4
Address: 700 Brunswick Street,4,5,2451,1108000,Crocker Amazon,9
Address: 50 Seward Street,2,4,2490,1820000,Eureka Valley - Dolores Heights - Castro,7
Address: 2484 Bush Street,2,3,1570,1700000,Lower Pacific Heights,6
Address: 1934 47th Avenue,2,3,1400,1225000,Outer Parkside,5
Address: 152 4th Avenue,2,2,1130,1560000,Lake,7
Address: 1582 47th Avenue,1,2,800,280000,Outer Sunset,4
Address: 648 Felton Street,1,3,1150,1008000,Portola,6
Address: 1587 15th Street #303,1,1,724,720000,Mission,4
Address: 321 Langton Street #12,2,2,1124,950000,South of Market,4
Address: 1001 Pine Street #404,1,1,616,730000,Downtown,3
Address: 15 Heyman Avenue,1,2,886,211000,Bernal Heights,4
Address: 471 Munich Street,1.5,3,1360,1005000,Excelsior,6
Address: 2300 43rd Avenue,2,3,1238,1125000,Outer Parkside,7
Address: 825 La Playa Street #222,2,3,1344,835000,Outer Richmond,5
Address: 3821 Lawton Street,1,2,1210,845000,Outer Sunset,5
Address: 3519 Lawton Street,2,3,1642,1200000,Outer Sunset,8
Address: 207 Avila Street,2.5,4,2040,3750000,Marina,8
Address: 80 Terrace Drive,3,4,2275,2830000,St. Francis Wood,6
Address: 6 Mint Plaza #304A,2,2,863,1150000,South of Market,5
Address: 69 Clementina Street #502,1,1,637,675000,South Beach,4
Address: 12 Winfield Street,1,2,1225,1210000,Bernal Heights,7
Address: 715 Hampshire Street,2.25,5,1288,1500000,Mission,8
Address: 132 Douglass Street,3,3,2085,1900000,Corona Heights,8
Address: 775 Frederick Street,3,6,4500,1825000,Haight-Ashbury,13
Address: 3900 California Street #2,2,2,1498,1195000,Lake,5
Address: 5020 Anza Street,3,4,1500,1180000,Outer Richmond,5
Address: 650 Parnassus Avenue,2,2,1373,1325000,Inner Sunset,8
Address: 775 Rockdale Drive,2,4,1595,1275000,Miraloma Park,7
Address: 340 Gold Mine Drive,3,4,1531,1350000,Diamond Heights,5
Address: 188 Huntington Drive,2,3,1530,1350000,Lakeshore,7
Address: 88 King Street #112,2,2,1455,1200000,South Beach,4
Address: 2245 Franklin Street,2,2,1243,1700000,Pacific Heights,4
Address: 1645 Pacific Avenue #5F,2,2,1458,2535000,Nob Hill,6
Address: 260 King Street #717,1,1,750,728000,South of Market,2
Address: 1255 California Street #205,1.5,1,1075,805000,Downtown,3
Address: 533 Wildwood Way,1,3,1220,875000,Mount Davidson Manor,6
Address: 1511 Lyon Street,2,5,2250,1500000,Lower Pacific Heights,9
Address: 2869 Clay Street,2,3,1864,1905000,Pacific Heights,7
Address: 2712 41st Avenue,1,2,903,870000,Outer Parkside,4
Address: 2296 15th Avenue,2,4,2000,1550000,Inner Parkside,8
Address: 935 Clayton Street,2,2,1299,1225000,Parnassus - Ashbury,5
Address: 2126 Hayes Street,3.5,4,2614,1950000,North Panhandle,23
Address: 3621 Washington Street,6,7,7000,7500000,Presidio Heights,11
Address: 327 Topeka Avenue,1,2,1175,825000,Bayview,5
Address: 236 North Lake Merced Hills,3.5,4,2062,1005000,Lakeshore,7
Address: 138 Raymond Avenue,2,3,1445,750000,Visitacion Valley,6
Address: 247 Schwerin Street,4,5,3300,1000000,Visitacion Valley,10
Address: 638 19th Street #16,2,2,1444,1398000,Central Waterfront - Dogpatch,4
Address: 146 A 27th Street,2,3,1350,1350000,Noe Valley,7
Address: 101 Lombard Street #914W,1,1,1062,1080000,Telegraph Hill,4
Address: 61 Cragmont Avenue,1,2,1214,1350000,Golden Gate Heights,5
Address: 890 35th Avenue,1.5,4,2360,1650000,Outer Richmond,8
Address: 171 20th Avenue,3,3,2239,2508000,Lake,8
Address: 1125 Mendell Street,2,3,934,600000,Bayview,5
Address: 55 Red Rock Way #302,1,1,830,590000,Diamond Heights,3
Address: 8400 Oceanview Terrace #307,2,2,969,635000,Ingleside Heights,4
Address: 41 Pueblo Street,1.5,2,1063,730000,Visitacion Valley,4
Address: 451 Kansas Street #571,1,1,778,842500,Potrero Hill,4
Address: 2126 18th Street,2.5,3,2081,1128000,Potrero Hill,9
Address: 2820 Van Ness Avenue,3,3,2300,2100000,Russian Hill,7
Address: 352 Shotwell Street,2,2,1209,1400500,Mission,5
Address: 446 Paris Street,2,3,1875,980000,Excelsior,7
Address: 3218 Rivera Street,1,2,1214,990000,Outer Parkside,5
Address: 2542 44th Avenue,2,3,1214,1150000,Outer Parkside,5
Address: 356 Carl Street #B,1,1,590,705000,Haight-Ashbury,3
Address: 173 Chilton Avenue,2,3,1241,1450000,Glen Park,8
Address: 301 Crescent Court #3101,1,1,804,399000,Bayview,3
Address: 6 Mint Plaza #401A,1,1,605,799000,South of Market,4
Address: 425 1st Street #5008,1,1,755,1325000,South Beach,3
Address: 88 King Street #302,2,2,1165,1230000,South Beach,4
Address: 566 South Van Ness Avenue #10,2,2,832,900000,Mission,5
Address: 555 Bartlett Street #312,2,2,934,977000,Mission,4
Address: 868 Potrero Avenue,1,3,1405,1166000,Mission,6
Address: 350 Madrid Street,1,3,1250,535500,Excelsior,6
Address: 170 Scotia Avenue,1,2,1250,795000,Silver Terrace,5
Address: 567 27th Street #2,2,3,1600,1510000,Noe Valley,7
Address: 6 Mint Plaza #303A,1,2,712,899000,South of Market,5
Address: 900 Bush Street #318,2,2,600,575000,Downtown,4
Address: 1 Daniel Burnham Court #307,1,0,563,578000,Van Ness - Civic Center,2
Address: 1116 Greenwich Street,2,3,1903,2825000,Russian Hill,7
Address: 1915 22nd Avenue,4,4,2000,1020000,Parkside,9
Address: 1624 Filbert Street #1,1,1,931,925000,Cow Hollow,3
Address: 267 Oxford Street,4,3,1353,1200000,Portola,7
Address: 201 Harrison Street #711,1,1,795,710000,South Beach,2
Address: 260 King Street #1517,1,0,671,710000,South of Market,2
Address: 850 Powell Street #403,3,3,2460,2700000,Nob Hill,8
Address: 1810 Polk Street #8,3,3,1606,1900000,Nob Hill,8
Address: 625 Jarboe Avenue,2,2,1125,1150000,Bernal Heights,6
Address: 214 Richland Avenue,4,6,2000,1400000,Bernal Heights,9
Address: 1184 Munich Street,1,2,770,830000,Crocker Amazon,4
Address: 42 Morse Street,1,2,1714,980000,Crocker Amazon,6
Address: 2126 32nd Avenue,1.5,3,1854,1075000,Parkside,7
Address: 2186 9th Avenue,3,5,2592,1850000,Forest Hill,9
Address: 228 Laussat Street,2,4,1400,940000,Hayes Valley,8
Address: 459 Frederick Street,2.5,3,3866,3295000,Haight-Ashbury,7
Address: 1371 Palou Avenue,1,2,1000,3000,Bayview,5
Address: 685 Victoria Street,4,4,940,1270000,Ingleside Terrace,7
Address: 90 Sussex Street,2,3,1200,1500000,Glen Park,6
Address: 298 Chestnut Street,4,4,6166,9998000,Telegraph Hill,15
Address: 607 Silver Avenue,1,2,862,658000,Excelsior,4
Address: 1273 Silver Avenue,1,3,1476,755000,Portola,7
Address: 1225 Goettingen Street,2,3,1230,800000,Visitacion Valley,6
Address: 569 Holyoke Street,2,3,1500,930000,Portola,6
Address: 601 Van Ness Avenue #230,1,1,677,585000,Van Ness - Civic Center,3
Address: 6 Mint Plaza #802A,3,3,1679,2745000,South of Market,6
Address: 631 Folsom Street #5F,2,2,1190,1350000,Yerba Buena,5
Address: 835 Wisconsin Street,1,3,1125,1420000,Potrero Hill,5
Address: 719 Frederick Street,1,2,790,840000,Haight-Ashbury,5
Address: 556 20th Avenue,1,2,1153,1115000,Central Richmond,5
Address: 335 Noriega Street,1,2,1149,1200000,Inner Sunset,5
Address: 3630 Irving Street,2,4,2150,1300000,Outer Sunset,10
Address: 955 Corbett Avenue #9,1,1,722,770000,Twin Peaks,3
Address: 250 King Street #1214,1,1,962,839500,South of Market,3
Address: 1301 Indiana Street #202,2,3,1373,1400000,Central Waterfront - Dogpatch,5
Address: 101 Eastwood Drive,2,3,1755,1500000,Westwood Park,6
Address: 153 Clipper Street,2,2,1200,1850000,Noe Valley,6
Address: 62 Cragmont Avenue,2,3,1764,1450000,Golden Gate Heights,7
Address: 490 33rd Avenue #201,1,1,686,628000,Outer Richmond,3
Address: 715 Foerster Street,2.5,4,1909,1495000,Miraloma Park,10
Address: 15 Red Rock Way #312N,1,1,830,725000,Diamond Heights,3
Address: 1473 Church Street,2,5,2010,1700000,Noe Valley,7
Address: 499 33rd Avenue #203,4,4,1648,1150000,Outer Richmond,7
Address: 170 King Street #802,2,2,1006,1295000,South Beach,4
Address: 701 Minnesota Street #213,2,2,1814,1630500,Central Waterfront - Dogpatch,5
Address: 706 Wisconsin Street,4,4,3377,2750000,Potrero Hill,10
Address: 1817 California Street #111,1,1,540,200000,Van Ness - Civic Center,4
Address: 542 Gates Street,1,2,1000,1025000,Bernal Heights,4
Address: 1163 Shotwell Street,2,5,2736,1530000,Mission,12
Address: 2 Amazon Avenue #302,2,2,857,517000,Excelsior,5
Address: 58 Ney Street,1,1,875,630000,Excelsior,4
Address: 427 Huron Avenue,1,2,1700,690000,Outer Mission,5
Address: 99 Ord Street,3,3,2850,3200000,Corona Heights,9
Address: 2121 Scott Street,1.5,2,1550,1950000,Pacific Heights,4
Address: 2090 Great Highway #104,1,1,726,475000,Outer Parkside,3
Address: 554 45th Avenue,2,3,2090,1500000,Outer Richmond,6
Address: 1758 28th Avenue,1,2,1150,1030000,Central Sunset,5
Address: 1618 46th Avenue,3,5,2999,1480000,Outer Sunset,9
Address: 2025 Keith Street,2,2,1260,527000,Bayview,5
Address: 399 Moncada Way,3,4,2396,1610000,Ingleside Terrace,8
Address: 653 28th Street,1.5,3,1400,1603000,Diamond Heights,5
Address: 850 Corbett Avenue #5,3,4,2517,1940000,Twin Peaks,8
Address: 368 Elm Street #107,2,2,1219,1225000,Van Ness - Civic Center,5
Address: 250 King Street #606,1,1,982,835500,South of Market,3
Address: 560 A Missouri Street,3,2,1191,1403000,Potrero Hill,5
Address: 900 Bush Street #217,2,2,847,828000,Downtown,5
Address: 2002 California Street,4,4,1720,3750000,Pacific Heights,9
Address: 400 Alemany Boulevard #5,1.5,2,866,550000,Bernal Heights,5
Address: 59 Mirabel Avenue,1,2,900,978000,Bernal Heights,5
Address: 2075 Sutter Street #527,2,2,1084,1300000,Lower Pacific Heights,5
Address: 118 Noriega Street,2,3,1499,980000,Inner Sunset,7
Address: 601 Van Ness Avenue #432,1,1,681,525000,Van Ness - Civic Center,3
Address: 201 Harrison Street #730,1,0,432,580000,South Beach,1
Address: 63 Arnold Avenue,1,2,862,855000,Bernal Heights,4
Address: 58 Gladys Street,2,3,1850,1650000,Bernal Heights,9
Address: 915 Vienna Street,1,3,1225,905000,Excelsior,6
Address: 370 Church Street #F,1,1,780,863000,Eureka Valley - Dolores Heights - Castro,4
Address: 71 Landers Street,2,3,2460,3000000,Mission,6
Address: 1310 Fillmore Street #609,1,1,810,738500,Western Addition,4
Address: 1775 Chestnut Street,2,2,1185,1500000,Marina,5
Address: 1688 Wallace Avenue #201,2,2,843,475000,Bayview,4
Address: 520 28th Street,1,2,700,1275000,Noe Valley,4
Address: 100 Roanoke Street,3,3,1881,2000000,Glen Park,8
Address: 232 Olmstead Street,1,3,1228,810500,Portola,5
Address: 310 Townsend Street #411,1,1,853,950000,South of Market,4
Address: 88 King Street #1308,2,2,1245,1550000,South Beach,5
Address: 1450 Greenwich Street #501,1,1,862,1100000,Russian Hill,4
Address: 21 Gladstone Drive,1,2,862,630000,Excelsior,4
Address: 335 Hanover Street,1,2,850,660000,Crocker Amazon,4
Address: 67 Arago Street,2,3,1012,1225888,Mission Terrace,5
Address: 27 Cutler Avenue,3,4,1622,1325000,Outer Parkside,9
Address: 2348 22nd Avenue,2,4,2478,1275000,Parkside,10
Address: 2080 14th Avenue,1,3,1504,1302500,Golden Gate Heights,7
Address: 522 11th Avenue,1,3,1560,1615000,Inner Richmond,6
Address: 1468 Francisco Street #1,1,1,984,1005500,Marina,3
Address: 32 Jennings Court,2,3,1674,730000,Bayview,6
Address: 1 Silverview Drive,2,3,1594,770000,Silver Terrace,5
Address: 46 El Sereno Court,1,3,1258,1313000,Miraloma Park,6
Address: 5160 Diamond Heights Boulevard #105C,2,2,1175,833000,Diamond Heights,5
Address: 691 Panorama Drive,2,3,1237,865000,Midtown Terrace,6
Address: 87 Aquavista Way,3,4,1800,1375000,Midtown Terrace,8
Address: 638 19th Street #15,2.5,3,1335,1500000,Central Waterfront - Dogpatch,5
Address: 12 Carson Street,3,4,1448,2260000,Eureka Valley - Dolores Heights - Castro,13
Address: 1915 Funston Avenue,2,4,1929,1275000,Golden Gate Heights,9
Address: 523 7th Avenue,2,4,2125,1575000,Inner Richmond,10
Address: 662 Joost Avenue,1,2,926,1015000,Sunnyside,5
Address: 453 Myra Way,2,3,1900,1250000,Miraloma Park,6
Address: 300 3rd Street #1115,2,2,1387,1450000,Yerba Buena,4
Address: 2090 Pacific Avenue #206,1,1,740,805000,Pacific Heights,2
Address: 1635 California Street #65,2,2,877,1050000,Van Ness - Civic Center,5
Address: 137 Faith Street,1,2,664,1000000,Bernal Heights,4
Address: 676 Capp Street,1.5,3,1668,2300000,Mission,8
Address: 138 Milton Street,1,2,1175,1329000,Bernal Heights,5
Address: 3049 Market Street,3,8,3375,855000,Eureka Valley - Dolores Heights - Castro,15
Address: 4318 17th Street #2,2,2,1073,1260000,Corona Heights,6
Address: 2211 44th Avenue,2,2,1240,895000,Outer Parkside,6
Address: 2312 32nd Avenue,4,4,2600,1080000,Parkside,6
Address: 2230 31st Avenue,2,2,1455,1125000,Parkside,6
Address: 2171 25th Avenue,2,4,1806,1340000,Parkside,7
Address: 790 7th Avenue #101,2,2,1020,735000,Inner Richmond,4
Address: 875 La Playa Street #373,1,1,767,575000,Outer Richmond,3
Address: 578 44th Avenue,1,2,950,900000,Outer Richmond,4
Address: 762 Great Highway #1,2,3,1491,905000,Outer Richmond,6
Address: 475 22nd Avenue,3.5,4,2413,2130000,Central Richmond,6
Address: 1490 39th Avenue,1,2,1450,1050000,Outer Sunset,6
Address: 1623 39th Avenue,2,4,1740,1325000,Outer Sunset,5
Address: 1568 36th Avenue,2,3,1825,1565000,Central Sunset,6
Address: 3234 Divisadero Street,3,5,2900,2250000,Marina,10
Address: 232 Fowler Avenue,3.3,5,2309,1475000,Miraloma Park,12
Address: 128 San Pablo Avenue,2,3,1899,1780000,St. Francis Wood,6
Address: 146 South Lake Merced Hills,3,3,2062,975000,Lakeshore,7
Address: 450 Argonaut Avenue,2.5,4,1726,560000,Visitacion Valley,7
Address: 1160 Mission Street #2303,1,1,745,820000,South of Market,3
Address: 355 1st Street #2601,2,2,1493,2150000,South Beach,5
Address: 1177 California Street #730,1,1,656,650000,Downtown,3
Address: 232 San Carlos Street,2,4,2095,2100000,Mission,8
Address: 164 Seville Street,3,3,2234,1125000,Crocker Amazon,3
Address: 31 Cayuga Avenue,2,2,1475,730000,Mission Terrace,7
Address: 206 Lakeview Avenue,2,4,1806,900000,Ingleside,8
Address: 29 Cuvier Street,1,2,825,952000,Bernal Heights,4
Address: 763 36th Avenue,1,3,1435,985000,Outer Richmond,6
Address: 1754 8th Avenue,2,3,1975,1225000,Inner Sunset,7
Address: 1540 36th Avenue,1,3,1825,1408000,Central Sunset,6
Address: 8 Le Conte Circle #2,2,3,1879,750000,Bayview,6
Address: 1633 Oakdale Avenue,2,2,1430,776000,Bayview,4
Address: 115 Valley Street,3,4,2000,2600000,Noe Valley,7
Address: 266 27th Avenue,1,2,1844,1612000,Lake,7
Address: 16 Jessie Street #209,1,1,896,969000,South Beach,4
Address: 2170 46th Avenue,2,3,1150,990000,Outer Parkside,5
Address: 701 5th Avenue,1,2,940,392500,Inner Richmond,4
Address: 590 Funston Avenue,2.25,3,2295,2305000,Inner Richmond,7
Address: 1607 39th Avenue,2,3,1176,980000,Outer Sunset,5
Address: 1 San Pablo Avenue,2.5,3,1695,1700000,St. Francis Wood,7
Address: 239 Argonaut Avenue,2,4,1725,491000,Visitacion Valley,7
Address: 339 Harkness Avenue,2,4,1575,749000,Visitacion Valley,7
Address: 1818 Broadway #401,1.75,1,700,702000,Pacific Heights,3
Address: 1416 Jackson Street,2.5,3,1980,1901500,Nob Hill,5
Address: 1133 Russia Avenue,1,2,962,788000,Excelsior,5
Address: 101 Maynard Street,2,3,1489,1200000,Excelsior,4
Address: 345 Locust Street #2,2,3,1462,2300000,Presidio Heights,6
Address: 1467 Funston Avenue,2,3,1295,1560000,Inner Sunset,6
Address: 1969 Jefferson Street,2,3,1864,2230000,Marina,7
Address: 722 Duncan Street,2.5,2,3678,3300000,Noe Valley,8
Address: 636 Carolina Street,2,3,1002,1200000,Potrero Hill,7
Address: 718 Faxon Avenue,1,3,1145,960000,Westwood Park,5
Address: 54 Marston Avenue,5,5,2500,1650000,Sunnyside,7
Address: 1631 Grove Street,3,3,2420,3300000,North Panhandle,7
Address: 1835 Geneva Avenue,1,4,1134,600000,Visitacion Valley,6
Address: 160 Rey Street,2,3,1173,706000,Visitacion Valley,5
Address: 360 Guerrero Street #201,1,1,775,656500,Mission,3
Address: 74 New Montgomery Street #611,1,0,489,633000,Yerba Buena,2
Address: 501 Beale Street #18B,2,2,1019,1986000,South Beach,4
Address: 260 King Street #1403,2,2,1286,1618000,South of Market,4
Address: 1200 Gough Street #4C,1,1,840,750000,Van Ness - Civic Center,4
Address: 1701 Jackson Street #702,1,1,774,875000,Pacific Heights,3
Address: 2065 Larkin Street,2,2,1186,1000000,Russian Hill,5
Address: 241 Bartlett Street,1,2,1324,1080000,Mission,6
Address: 136 Bradford Street,2,4,1740,1225000,Bernal Heights,7
Address: 181 Duncan Street,2,4,2208,2300500,Noe Valley,10
Address: 72 Valley Street,4.5,4,3860,3300000,Noe Valley,12
Address: 325 Seneca Avenue,1,2,828,773500,Mission Terrace,5
Address: 147 Gladstone Drive,2,2,1200,800000,Excelsior,6
Address: 262 Tara Street,2,3,1725,936000,Ingleside,7
Address: 284 Liberty Street,1,2,1295,1575000,Eureka Valley - Dolores Heights - Castro,5
Address: 3100 Washington Street #12,1,1,807,825000,Pacific Heights,3
Address: 2219 25th Avenue,1,2,1744,1380000,Parkside,6
Address: 420 Stanyan Street #2,2,2,1585,1525000,North Panhandle,5
Address: 738 Arguello Boulevard,2,5,3040,1100000,Lone Mountain,11
Address: 227 5th Avenue,4,4,3000,2950000,Inner Richmond,10
Address: 2845 Lake Street,3.5,5,3300,4500000,Sea Cliff,10
Address: 1787 32nd Avenue,3,4,1600,1020000,Central Sunset,6
Address: 1050 Moraga Street,5,3,2650,1250000,Inner Sunset,6
Address: 34 Harris Place,1,1,759,739000,Cow Hollow,4
Address: 1921 Jefferson Street #107,2,2,826,925000,Marina,5
Address: 259 Bayview Circle,2,2,1317,550000,Silver Terrace,5
Address: 140 Hernandez Avenue,3,2,2066,2050000,Forest Hill Extension,6
Address: 27 Roanoke Street,1,2,936,1100000,Glen Park,4
Address: 1027 Duncan Street,2.5,4,1862,2125000,Diamond Heights,12
Address: 2149 Castro Street,1.5,1,850,2225000,Noe Valley,5
Address: 900 Green Street #500,2,2,2086,2600000,Russian Hill,5
Address: 301 Crescent Court #3312,1,1,842,505000,Bayview,3
Address: 237 Brookdale Avenue,2,3,1144,720000,Visitacion Valley,5
Address: 645 Colby Street,2,3,823,800000,Portola,5
Address: 1998 Broadway #906,2,2,1170,1490000,Pacific Heights,5
Address: 305 Nevada Street,1,1,780,875000,Bernal Heights,4
Address: 455 Upper Terrace #3,2,2,980,700000,Parnassus - Ashbury,5
Address: 1817 21st Avenue,2,4,1960,960000,Central Sunset,8
Address: 3117 Buchanan Street,1,2,1036,1280000,Cow Hollow,4
Address: 1201 Palou Avenue,1,3,1200,700000,Bayview,6
Address: 218 Monterey Boulevard,3,5,1955,805000,Sunnyside,9
Address: 354 Arlington Street,3.5,3,1755,2050000,Glen Park,6
Address: 231 27th Street,3,4,1510,2400500,Noe Valley,7
Address: 1741 A Stockton Street,3,4,2275,1890000,North Beach,10
Address: 88 King Street #115,2.5,2,1443,1520000,South Beach,5
Address: 1139 Shrader Street,2,2,1444,1665000,Parnassus - Ashbury,6
Address: 331 Arguello Boulevard #B,2,2,1095,830000,Inner Richmond,5
Address: 530 Head Street,1,2,800,650000,Ingleside Heights,4
Address: 2555 Leavenworth Street #308,1,2,750,873000,Russian Hill,3
Address: 555 4th Street #102,1,0,475,562000,South of Market,3
Address: 2063 Larkin Street,1,2,1300,1450000,Russian Hill,5
Address: 277 Bradford Street,1.5,3,1180,1027500,Bernal Heights,6
Address: 430 Nevada Street,1,2,880,1065000,Bernal Heights,4
Address: 3772 26th Street,2,3,2250,2000000,Mission,9
Address: 649 Cayuga Avenue,2,3,1880,1225000,Mission Terrace,6
Address: 2582 46th Avenue,1,2,825,937000,Outer Parkside,5
Address: 4339 California Street #1,2,4,1569,1480000,Inner Richmond,7
Address: 250 Laurel Street #301,3,4,2290,3100000,Presidio Heights,7
Address: 1269 27th Avenue,2,3,1850,1510000,Central Sunset,7
Address: 50 Quartz Way,2.5,3,2104,1480000,Diamond Heights,6
Address: 621 Silliman Street,1,2,1263,728000,Portola,5
Address: 201 Harrison Street #121,1,1,593,635000,South Beach,2
Address: 1242 Sacramento Street #4,1,1,1088,1275000,Nob Hill,5
Address: 1257 Union Street,1,2,1200,1650000,Russian Hill,5
Address: 350 Alabama Street #14,2,1,1,1225000,Mission,3
Address: 52 Mirabel Avenue,2,3,2370,2625000,Bernal Heights,6
Address: 4087 17th Street,2,2,1945,2300000,Corona Heights,5
Address: 769 Elizabeth Street,3.5,4,2710,4050000,Noe Valley,9
Address: 1256 27th Avenue,1,2,1200,999000,Central Sunset,5
Address: 1278 23rd Avenue,3.5,3,2250,1720000,Central Sunset,6
Address: 175 Brompton Avenue,1,2,950,805000,Glen Park,4
Address: 127 Beverly Street,1,2,1188,910000,Merced Heights,5
Address: 39 Boardman Place #304,2,1,1065,938000,South of Market,4
Address: 170 King Street #401,2,2,901,283500,South Beach,4
Address: 920 Harrison Street #12,1.5,1,1138,885000,South of Market,3
Address: 207 King Street #415,2,1,1440,1395000,South of Market,5
Address: 435 Vermont Street,2,3,1876,1750500,Potrero Hill,6
Address: 2004 19th Street,3,3,1972,2500000,Potrero Hill,6
Address: 626 Cayuga Avenue,2,2,1350,954000,Mission Terrace,5
Address: 2441 45th Avenue,1,3,995,925000,Outer Parkside,5
Address: 2271 30th Avenue,3,4,2200,1225000,Parkside,8
Address: 221 Steiner Street,1,2,1525,1325000,Hayes Valley,5
Address: 144 Belvedere Street,2,3,1650,1585000,Haight-Ashbury,8
Address: 1271 Stanyan Street,3,3,1428,2025000,Parnassus - Ashbury,6
Address: 797 14th Avenue,1,2,972,880000,Central Richmond,6
Address: 753 39th Avenue,1,2,1345,1027000,Outer Richmond,6
Address: 1606 46th Avenue,2,3,1391,987000,Outer Sunset,7
Address: 1810 Green Street,3.5,3,1386,3400000,Cow Hollow,9
Address: 1618 Shafter Avenue,1.5,3,1125,725000,Bayview,5
Address: 38 Hawkins Lane,2,3,1776,758000,Bayview,7
Address: 276 Bemis Street,1,2,756,885000,Glen Park,5
Address: 219 Monticello Street,2,2,1750,972000,Merced Heights,7
Address: 567 Vallejo Street #301,3,3,2400,3115000,Telegraph Hill,6
Address: 259 Tocoloma Avenue,3.5,3,1325,1075000,Little Hollywood,9
Address: 326 Utah Street,2,4,1400,554000,Mission,7
Address: 331 10th Street,2,5,2276,1150000,South of Market,9
Address: 250 King Street #632,1,1,716,710000,South of Market,3
Address: 1125 20th Street,2,3,1287,905000,Potrero Hill,5
Address: 3165 Folsom Street,3.5,4,2556,2000000,Bernal Heights,7
Address: 60 Thrift Street,3,4,2250,925000,Oceanview,9
Address: 2542 Sacramento Street #102,1,1,650,800000,Pacific Heights,3
Address: 1748 Newcomb Avenue,2,4,2030,600000,Bayview,6
Address: 1054 Hollister Avenue,2,3,1420,655000,Bayview,8
Address: 8400 Oceanview Terrace #119,2,2,950,610000,Ingleside Heights,4
Address: 717 San Bruno Avenue,2,3,1994,1260000,Potrero Hill,8
Address: 250 King Street #444,2,2,1112,1300000,South of Market,4
Address: 683 Vienna Street,2,3,1108,750000,Excelsior,8
Address: 90 Lapham Way,2,3,1462,950000,Crocker Amazon,7
Address: 655 Corbett Avenue #508,1,1,710,775000,Twin Peaks,3
Address: 2782 40th Avenue,1.25,2,1011,950000,Outer Parkside,5
Address: 662 Arguello Boulevard,1,3,1039,1125000,Lone Mountain,7
Address: 1615 9th Avenue,1.5,3,1437,1375000,Inner Sunset,6
Address: 1043 Palou Avenue,1.5,3,1260,270000,Bayview,7
Address: 25 Latona Street,2,3,1200,842000,Bayview,6
Address: 478 Wilde Avenue,2,2,1240,820000,Visitacion Valley,5
Address: 425 1st Street #2706,2,2,1238,1745000,South Beach,4
Address: 1254 Rhode Island Street #13,2,3,1003,735000,Potrero Hill,6
Address: 855 Folsom Street #334,1.5,1,838,930000,Yerba Buena,4
Address: 1998 Broadway #904,2,2,980,1425000,Pacific Heights,5
Address: 228 Chicago Way,2,4,1988,988888,Crocker Amazon,9
Address: 4356 23rd Street,1,2,960,1066000,Noe Valley,5
Address: 1962 30th Avenue,1,2,1238,950000,Parkside,5
Address: 331 Arguello Boulevard #A,4,4,3008,2600000,Inner Richmond,8
Address: 354 24th Avenue #1,3,4,1960,1481500,Central Richmond,7
Address: 1523 18th Avenue,4,5,2232,1695000,Inner Sunset,12
Address: 230 Santa Clara Avenue,3.5,4,3992,3472000,St. Francis Wood,12
Address: 5150 Diamond Heights Boulevard #208B,2,2,1175,850000,Diamond Heights,4
Address: 143 Hearst Avenue,2,2,1361,1075000,Sunnyside,6
Address: 11 Hiliritas Avenue,1,2,1426,1525000,Glen Park,5
Address: 1700 Gough Street #10,1,1,650,600000,Van Ness - Civic Center,2
Address: 2415 Van Ness Avenue #606,1,1,558,750000,Cow Hollow,2
Address: 20 Liberty Street,1,2,1204,1251500,Mission,4
Address: 162 Concord Street,1,2,1190,886000,Crocker Amazon,5
Address: 427 10th Avenue,1,4,1712,1400000,Inner Richmond,6
Address: 1500 Francisco Street #8,1,1,767,850000,Marina,3
Address: 601 Van Ness Avenue #704,1,1,743,660000,Van Ness - Civic Center,3
Address: 333 1st Street #N606,1,1,757,590000,South Beach,4
Address: 300 Beale Street #408,1.5,1,1379,1400000,South Beach,4
Address: 425 1st Street #2702,2,2,1309,2050000,South Beach,4
Address: 672 Carolina Street,1,2,980,1005000,Potrero Hill,5
Address: 331 Connecticut Street,1,2,1287,1750000,Potrero Hill,5
Address: 1 Daniel Burnham Court #1212,1,1,823,823000,Van Ness - Civic Center,3
Address: 1817 California Street #209,1.5,2,735,829000,Van Ness - Civic Center,4
Address: 1998 Broadway #807,2,2,1200,1225000,Pacific Heights,5
Address: 4156 Folsom Street,1,2,973,995000,Bernal Heights,5
Address: 80 Sycamore Street,4,6,3814,3703000,Mission,12
Address: 923 Capitol Avenue,2,3,1400,860000,Ingleside,6
Address: 21 Williar Avenue,1,3,1482,865000,Ingleside,7
Address: 2121 Laguna Street #700,2,2,818,880000,Pacific Heights,4
Address: 199 Quintara Street,2,3,1603,1430000,Forest Hill,6
Address: 2527 McAllister Street,1,2,1080,1500000,Lone Mountain,5
Address: 6525 California Street,1,2,954,1000000,Central Richmond,5
